Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Male,10.10,81.20,0,"Congo, Rep.",North America
Female,7.50,76.40,0,"Congo, Rep.",North America
Total,13.40,78.80,11700,Costa Rica,Europe
Male,13.90,80.10,0,Costa Rica,Europe
Female,14.40,73.40,0,Costa Rica,Europe
Total,14.40,76.80,14910,Croatia,North America
Male,13.80,80.30,0,Croatia,North America
Female,15.10,76.40,0,Croatia,North America
Total,16.40,78.30,0,Cuba,Europe
Male,15.30,81.60,0,Cuba,Europe
Female,17.70,77.20,0,Cuba,Europe
Total,13.80,79.40,27710,Cyprus,Europe
Male,13.90,80.70,0,Cyprus,Europe
Female,13.80,74.50,0,Cyprus,Europe
Total,16.00,77.60,22000,Czech Republic,Africa
Male,15.60,54.40,0,Czech Republic,Africa
Female,16.60,51.70,0,Czech Republic,Africa
Total,16.90,79.40,63240,Denmark,Europe
Male,16.30,61.60,0,Denmark,Europe
Female,17.60,58.60,0,Denmark,Europe
Total,5.90,60.10,3540,Djibouti,Africa
Male,6.40,75.30,0,Djibouti,Africa
Female,5.40,69.10,0,Djibouti,Africa
Total,13.60,77.40,8090,Dominica,North America
Male,,78.00,0,Dominica,North America
Female,,72.30,0,Dominica,North America
Total,13.00,72.00,8090,Dominican Republic,North America
Male,12.50,72.60,0,Dominican Republic,North America
Female,13.50,68.20,0,Dominican Republic,North America
Total,13.20,75.10,6080,Ecuador,South America
Male,13.00,75.70,0,Ecuador,South America
Female,13.50,66.50,0,Ecuador,South America
Total,12.00,70.30,2690,Egypt,Africa
Male,12.20,56.90,0,Egypt,Africa
Female,11.70,54.50,0,Egypt,Africa
Total,12.50,71.20,4000,El Salvador,North America
Male,12.70,64.30,0,El Salvador,North America
Female,12.30,60.20,0,El Salvador,North America
Total,9.20,55.60,6460,Equatorial Guinea,Africa
Male,,80.20,0,Equatorial Guinea,Africa
Female,,70.10,0,Equatorial Guinea,Africa
Total,5.40,62.20,0,Eritrea,Africa
Male,6.00,49.20,0,Eritrea,Africa
Female,4.80,44.40,0,Eritrea,Africa
Total,16.40,75.30,23220,Estonia,Europe
Male,15.40,63.30,0,Estonia,Europe
Female,17.40,60.00,0,Estonia,Europe
Total,11.20,46.60,3590,Eswatini,Africa
Male,11.60,68.30,0,Eswatini,Africa
Female,10.70,65.20,0,Eswatini,Africa
Total,8.20,61.60,850,Ethiopia,Africa
Male,8.80,83.30,0,Ethiopia,Africa
Female,7.60,76.90,0,Ethiopia,Africa
Total,14.60,66.70,5860,Fiji,Oceania
Male,,84.70,0,Fiji,Oceania
Female,,78.10,0,Fiji,Oceania
Total,16.90,80.10,49580,Finland,Europe
Male,16.30,62.80,0,Finland,Europe
Female,17.50,60.00,0,Finland,Europe
Total,15.10,81.50,42400,France,Europe
Male,14.80,61.00,0,France,Europe
Female,15.50,58.40,0,France,Europe
Total,12.50,61.40,7210,Gabon,Africa
Male,12.60,76.00,0,Gabon,Africa
Female,12.40,66.90,0,Gabon,Africa
Total,8.70,59.60,740,Gambia,Africa
Male,8.70,82.70,0,Gambia,Africa
Female,8.60,77.50,0,Gambia,Africa
Total,13.30,71.50,4740,Georgia,Europe
Male,13.20,62.00,0,Georgia,Europe
Female,13.40,60.10,0,Georgia,Europe
Total,16.80,80.10,48520,Germany,Europe
Male,17.00,83.30,0,Germany,Europe
Female,16.60,77.90,0,Germany,Europe
Total,10.90,61.00,2220,Ghana,Africa
Male,11.30,75.50,0,Ghana,Africa
Female,10.40,70.50,0,Ghana,Africa
Total,16.20,80.50,20320,Greece,Europe
Male,16.30,74.70,0,Greece,Europe
Female,16.10,68.20,0,Greece,Europe
Total,15.90,72.90,9980,Grenada,North America
Male,15.50,57.50,0,Grenada,North America
Female,16.30,56.00,0,Grenada,North America
Total,10.50,71.50,4610,Guatemala,North America
Male,10.80,56.90,0,Guatemala,North America
Female,10.30,52.20,0,Guatemala,North America
Total,8.40,56.90,950,Guinea,Africa
Male,9.80,71.50,0,Guinea,Africa
Female,7.10,64.80,0,Guinea,Africa
Total,9.90,54.60,820,Guinea-Bissau,Africa
Male,,62.50,0,Guinea-Bissau,Africa
